publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,notes,publisher_name,publication_type,date_monograph_published_print,date_monograph_published_online,monograph_volume,monograph_edition,first_editor,parent_publication_title_id,preceding_publication_title_id,access_type,full_coverage,collection,discipline,catalog_identifier_oclc,catalog_identifier_lccn,archive_release_date,publication_date,grouped_id,lineage,parent,processed_date_first_issue_online,processed_date_last_issue_online,lineage_active_years,lineage_active_years_bin,coerced_date_first_issue_online,coerced_date_last_issue_online,unique_discipline,wikidata_url,wikipedia_url,wikidata_title,aggregated_disciplines,title_active_years,title_active_years_bin,unique_title_discipline,unique_lineage_discipline,discipline_count_per_title,discipline_count_per_lineage,processed_publisher_name,updated_discipline_count_per_lineage,qid,lineage_has_wiki,title_has_wiki
Philosophical Transactions (1665-1678),0370-2316,,1665-01-01,1,,1677-01-01,12,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtran1665167,,philtran1665167,,fulltext,,Royal Society,serial,,,,,,philtran1683177,,P,1665-01-01 - 1677-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610012,00-227480,2000-12-22,,philtran1665167,philtran1665167,philtran1683177,1665-01-01,1677-01-01,487,binned_3,,,False,http://www.wikidata.org/entity/Q913162,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,Philosophical Transactions,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,13,binned_1,True,True,4,4,Royal Society,4,Q913162,True,True
Philosophical Transactions (1683-1775),0260-7085,,1683-01-01,13,,1775-01-01,65,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtran1683177,,philtran1683177,,fulltext,,Royal Society,serial,,,,,,philtranroyasoc3,philtran1665167,P,1683-01-01 - 1775-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610194,00-227481,2000-12-22,,philtran1665167,philtran1665167,philtranroyasoc3,1683-01-01,1775-01-01,487,binned_3,1683-01-01,1775-01-01,False,http://www.wikidata.org/entity/Q21386169,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,"Philosophical Transactions of the Royal Society, London",Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,93,binned_3,True,True,4,4,Royal Society,4,Q21386169,True,True
Transactions of the American Philosophical Society,0065-9746,,1769-01-01,1,,2023-01-01,112,1,https://www-jstor-org.proxy2.library.illinois.edu/journal/tranamerphilsoci,,tranamerphilsoci,,fulltext,Content for this title is released as soon as the latest issues become available to JSTOR.,American Philosophical Society,serial,,,,,,,,P,1769-01-01 - 2023-01-01,JSTOR Essential Collection ; JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences VII Collection,History,55125852,2004-235674,2004-05-12,,tranamerphilsoci,tranamerphilsoci,tranamerphilsoci,1769-01-01,2023-01-01,255,binned_3,1769-01-01,2023-01-01,True,http://www.wikidata.org/entity/Q28807280,,Transactions of the American Philosophical Society,History,255,binned_3,True,True,1,1,American Philosophical Society,1,Q28807280,True,True
Philosophical Transactions of the Royal Society of London,0261-0523,,1776-01-01,66,,1886-01-01,177,,https://www-jstor-org.proxy2.library.illinois.edu/journal/philtranroyasoc3,,philtranroyasoc3,,fulltext,,Royal Society,serial,,,,,,philtranroyasoc5,philtran1683177,P,1776-01-01 - 1886-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610575,00-227482,2000-12-22,,philtran1683177,philtran1665167,philtranroyasoc5,1776-01-01,1886-01-01,487,binned_3,1776-01-01,1886-01-01,False,http://www.wikidata.org/entity/Q21386169,https://en.wikipedia.org/wiki/Philosophical_Transactions_of_the_Royal_Society,"Philosophical Transactions of the Royal Society, London",Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,111,binned_3,True,True,4,4,Royal Society,4,,True,True
"Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce",2049-7873,,1783-01-01,1,,1843-01-01,55,,https://www-jstor-org.proxy2.library.illinois.edu/journal/transoclon,,transoclon,,fulltext,Content for this title is released as soon as the latest issues become available to JSTOR.,"RSA The royal society for arts, manufactures and commerce",serial,,,,,,jsociarts,,P,1783-01-01 - 1843-01-01,JSTOR Archival Journal & Primary Source Collection ; Business & Economics Collection ; Arts & Sciences XI Collection,Art & Art History ; Arts ; Business ; Business & Economics ; Education ; History ; History of Science & Technology ; Social Sciences,663383249,2013-235101,2012-08-31,,transoclon,transoclon,jsociarts,1783-01-01,1843-01-01,235,binned_3,1783-01-01,1843-01-01,True,http://www.wikidata.org/entity/Q29994999,,"Transactions of the Society, Instituted at London, for the Encouragement of Arts, Manufactures, and Commerce",Art & Art History ; Arts ; Business ; Business & Economics ; Education ; History ; History of Science & Technology ; Social Sciences,61,binned_3,True,True,8,8,"RSA The royal society for arts, manufactures and commerce",8,Q29994999,True,True
The Transactions of the Royal Irish Academy,0790-8113,,1787-01-01,1,,1906-01-01,33,,https://www-jstor-org.proxy2.library.illinois.edu/journal/tranroyairisacad,,tranroyairisacad,,fulltext,Publication of this title ceased in 1907.,Royal Irish Academy,serial,,,,,,,,P,1787-01-01 - 1906-01-01,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; History ; Irish Studies,320636289,2009-235094,2009-05-08,,tranroyairisacad,tranroyairisacad,tranroyairisacad,1787-01-01,1906-01-01,120,binned_3,1787-01-01,1906-01-01,True,,,,Area Studies ; History ; Irish Studies,120,binned_3,True,True,3,3,Royal Irish Academy,3,,False,False
Proceedings of the Massachusetts Historical Society,0076-4981,,1791-01-01,1,,1997-01-01,109,,https://www-jstor-org.proxy2.library.illinois.edu/journal/procmasshistsoci,,procmasshistsoci,,fulltext,,Massachusetts Historical Society,serial,,,,,,masshistrevi,,P,1791-01-01 - 1997-01-01,JSTOR Archival Journal & Primary Source Collection ; Arts & Sciences V Collection,American Studies ; Area Studies ; History,297310150,2009-235089,2009-02-23,,procmasshistsoci,procmasshistsoci,masshistrevi,1791-01-01,1997-01-01,229,binned_3,1791-01-01,1997-01-01,True,http://www.wikidata.org/entity/Q27716012,,Proceedings of the Massachusetts Historical Society,American Studies ; Area Studies ; History,207,binned_3,True,True,3,3,Massachusetts Historical Society,3,Q27716012,True,True
The Anti-Union,2009-1672,,1798-12-27,,1,1799-03-09,,32,https://www-jstor-org.proxy2.library.illinois.edu/journal/anti-union,,anti-union,,fulltext,Publication of this title ceased in 1799.,,serial,,,,,,,,P,1798-12-27 - 1799-03-09,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; History ; Irish Studies ; Political Science ; Social Sciences,288972060,2009-235224,2009-03-20,,anti-union,anti-union,anti-union,1798-12-27,1799-03-09,2,binned_0,1798-12-27,1799-03-09,True,http://www.wikidata.org/entity/Q55174643,,The Anti-Union,Area Studies ; History ; Irish Studies ; Political Science ; Social Sciences,2,binned_0,True,True,5,5,,5,Q55174643,True,True
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London,0365-5695,,1800-01-01,1,,1837-01-01,4,,https://www-jstor-org.proxy2.library.illinois.edu/journal/abstpapeprinphil,,abstpapeprinphil,,fulltext,,Royal Society,serial,,,,,,abstpapecommroya,,P,1800-01-01 - 1837-01-01,JSTOR Archival Journal & Primary Source Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,45610580,00-227483,2000-12-22,,abstpapeprinphil,abstpapeprinphil,abstpapecommroya,1800-01-01,1837-01-01,331,binned_3,1800-01-01,1837-01-01,False,,,,Biological Sciences ; General Science ; Mathematics ; Science & Mathematics,38,binned_2,True,True,4,4,Royal Society,4,,True,False
The Belfast Monthly Magazine,1758-1605,,1808-09-01,1,1,1814-12-31,13,77,https://www-jstor-org.proxy2.library.illinois.edu/journal/belfmontmaga,,belfmontmaga,,fulltext,Publication of this title ceased in 1814.,,serial,,,,,,,,P,1808-09-01 - 1814-12-31,Ireland Collection ; JSTOR Archival Journal & Primary Source Collection,Area Studies ; Irish Studies,320636351,2009-235090,2009-05-08,,belfmontmaga,belfmontmaga,belfmontmaga,1808-09-01,1814-12-31,7,binned_0,1808-09-01,1814-12-31,True,http://www.wikidata.org/entity/Q63684444,,The Belfast Monthly Magazine,Area Studies ; Irish Studies,7,binned_0,True,True,2,2,,2,Q63684444,True,True
